lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,0.79,0.993607305936073,1.0,0.9761092150170648,0.9879101899827288,0.999455286697931,0.9986929664689468,0.9880546075085324,802,0,7,286
T+1,RandomForest,0.8,0.993607305936073,1.0,0.9761092150170648,0.9879101899827288,0.999455286697931,0.9986929664689468,0.9880546075085324,802,0,7,286
T+1,RandomForest,0.81,0.9926940639269406,1.0,0.9726962457337884,0.986159169550173,0.999455286697931,0.9986929664689468,0.9863481228668942,802,0,8,285
T+1,RandomForest,0.82,0.9917808219178083,1.0,0.9692832764505119,0.9844020797227037,0.999455286697931,0.9986929664689468,0.984641638225256,802,0,9,284
T+1,RandomForest,0.83,0.9881278538812786,1.0,0.9556313993174061,0.9773123909249564,0.999455286697931,0.9986929664689468,0.9778156996587031,802,0,13,280
T+1,RandomForest,0.84,0.9835616438356164,1.0,0.9385665529010239,0.9683098591549296,0.999455286697931,0.9986929664689468,0.9692832764505119,802,0,18,275
T+1,RandomForest,0.85,0.9817351598173516,1.0,0.931740614334471,0.9646643109540636,0.999455286697931,0.9986929664689468,0.9658703071672354,802,0,20,273
T+1,RandomForest,0.86,0.9762557077625571,1.0,0.9112627986348123,0.9535714285714286,0.999455286697931,0.9986929664689468,0.9556313993174061,802,0,26,267
T+1,RandomForest,0.87,0.9735159817351599,1.0,0.9010238907849829,0.947935368043088,0.999455286697931,0.9986929664689468,0.9505119453924915,802,0,29,264
T+1,RandomForest,0.88,0.9726027397260274,1.0,0.8976109215017065,0.9460431654676259,0.999455286697931,0.9986929664689468,0.9488054607508533,802,0,30,263
T+1,RandomForest,0.89,0.971689497716895,1.0,0.89419795221843,0.9441441441441442,0.999455286697931,0.9986929664689468,0.947098976109215,802,0,31,262
T+1,RandomForest,0.9,0.9671232876712329,1.0,0.8771331058020477,0.9345454545454546,0.999455286697931,0.9986929664689468,0.9385665529010239,802,0,36,257
T+1,RandomForest,0.91,0.9625570776255707,1.0,0.8600682593856656,0.9247706422018349,0.999455286697931,0.9986929664689468,0.9300341296928327,802,0,41,252
T+1,RandomForest,0.92,0.9579908675799087,1.0,0.8430034129692833,0.9148148148148149,0.999455286697931,0.9986929664689468,0.9215017064846416,802,0,46,247
T+1,RandomForest,0.93,0.9506849315068493,1.0,0.8156996587030717,0.8984962406015038,0.999455286697931,0.9986929664689468,0.9078498293515358,802,0,54,239
T+1,RandomForest,0.94,0.9287671232876712,1.0,0.7337883959044369,0.8464566929133859,0.999455286697931,0.9986929664689468,0.8668941979522184,802,0,78,215
T+1,RandomForest,0.95,0.91324200913242,1.0,0.6757679180887372,0.8065173116089613,0.999455286697931,0.9986929664689468,0.8378839590443685,802,0,95,198
T+1,XGBoost,0.05,0.989041095890411,0.9667774086378738,0.9931740614334471,0.9797979797979798,0.9997787102210344,0.9994306880823147,0.9903526167516363,792,10,2,291
T+1,XGBoost,0.06,0.9881278538812786,0.9666666666666667,0.9897610921501706,0.9780775716694773,0.9997787102210344,0.9994306880823147,0.988646132109998,792,10,3,290
T+1,XGBoost,0.07,0.989041095890411,0.9698996655518395,0.9897610921501706,0.9797297297297297,0.9997787102210344,0.9994306880823147,0.9892695735065067,793,9,3,290
T+1,XGBoost,0.08,0.9899543378995433,0.9731543624161074,0.9897610921501706,0.9813874788494078,0.9997787102210344,0.9994306880823147,0.9898930149030154,794,8,3,290
